scope	mode	test	outcome	capture
PF-01	race	TestCarriedPreparationPartialReadersKeepIndependentLocalProofs	PASS	interim/pf01/positive/body/race
PF-01	race	TestCarriedPreparationReadOnlyBatchesRetainAllFailures	PASS	interim/pf01/positive/body/race
PF-01	race	TestCarriedPreparationRetryReauthenticatesSourceAndReceipts	PASS	interim/pf01/positive/body/race
PF-01	race	TestCarriedPreparationRetryRechecksScopeAndAuthority	PASS	interim/pf01/positive/body/race
PF-01	race	TestCarriedPreparationSourceReadWorkIsBounded	PASS	interim/pf01/positive/body/race
PF-01	race	TestCarriedTopologyAuthenticatesReceiptWithoutRequiringStoppedProcessLiveness	PASS	interim/pf01/positive/body/race
PF-01	race	TestHistoricalAuditCacheCancellationNeverPublishesSuccess	PASS	interim/pf01/positive/body/race
PF-01	race	TestHistoricalAuditCacheInvalidatesChangedIdentity	PASS	interim/pf01/positive/body/race
PF-01	race	TestHistoricalFleetCacheCannotBypassSuccessorOrCurrentStateChecks	PASS	interim/pf01/positive/body/race
PF-01	race	TestHistoricalFleetCacheRechecksLocalDecoderEvidenceAndSourceReceipts	PASS	interim/pf01/positive/body/race
PF-01	race	TestHistoricalFleetCacheReusesAcrossExecutorsWithBatchedFreshCheckpoints	PASS	interim/pf01/fixture-correction/body/race
PF-01	race	TestOwnedRPCHistoryAuthenticatesOriginalApprovalWithoutRelabelingReceipts	PASS	interim/pf01/positive/body/race
PF-01	race	TestOwnedRPCHistoryNativeReplayCannotBorrowOneReader	PASS	interim/pf01/positive/body/race
PF-01	race	TestOwnedRPCHistoryReplaysOriginalFundingThroughOwnedNode	PASS	interim/pf01/positive/body/race
PF-01	race	TestProvisionalPreparationCollectsEveryRetainedReceiptFailure	PASS	interim/pf01/positive/body/race
PF-01	race	TestVerifyCarriedActionHistoryLeavesOnlyUnverifiedFleetBatchAtExecutionBoundary	PASS	interim/pf01/positive/body/race
PF-01	race	TestVerifyCarriedActionHistorySeedsAllFortyFleetBatchCacheKeys	PASS	interim/pf01/positive/body/race
PF-02 SN	normal	TestProcessLogClassifierFailsClosedWithoutRejectingExpectedNoise	PASS	interim/pf02/sn/positive/sn-sim-testnet/body/normal
PF-02 SN	normal	TestRenderOperatorProviderEgressProbeIsolationRejectsNonRegularCredential	PASS	interim/pf02/sn/positive/sn-sim-testnet/body/normal
PF-02 SN	normal	TestRenderOperatorProviderEgressProbeIsolationRemovesCopiedCredential	PASS	interim/pf02/sn/positive/sn-sim-testnet/body/normal
PF-02 SN	normal	TestRunMainServerModulesConfineTLSFallbackToConnectLoopback	PASS	interim/pf02/sn/positive/sn-sim-testnet/body/normal
PF-02 SN	normal	TestRunMainTaskworkerRequiresExplicitSubnetProfile	PASS	interim/pf02/sn/positive/sn-sim-testnet/body/normal
PF-02 SN	normal	TestRuntimeConfigManifestRejectsProviderEgressProbeIsolationDrift	PASS	interim/pf02/sn/positive/sn-sim-testnet/body/normal
PF-02 SN	normal	TestServerSpecsRouteWorkloadsThroughSimulatorOwnedRPCProxy	PASS	interim/pf02/sn/positive/sn-sim-testnet/body/normal
PF-02 SN	normal	TestServerTaskworkerProfileSurvivesSupervisorSerialization	PASS	interim/pf02/sn/positive/sn-sim-testnet/body/normal
PF-02 SN	normal	TestSupervisorRestartsOncePublishesReadyAndStopsChildren	PASS	interim/pf02/sn/positive/sn-sim-testnet/body/normal
PF-02 SN	race	TestProcessLogClassifierFailsClosedWithoutRejectingExpectedNoise	PASS	interim/pf02/sn/positive/sn-sim-testnet/body/race
PF-02 SN	race	TestRenderOperatorProviderEgressProbeIsolationRejectsNonRegularCredential	PASS	interim/pf02/sn/positive/sn-sim-testnet/body/race
PF-02 SN	race	TestRenderOperatorProviderEgressProbeIsolationRemovesCopiedCredential	PASS	interim/pf02/sn/positive/sn-sim-testnet/body/race
PF-02 SN	race	TestRunMainServerModulesConfineTLSFallbackToConnectLoopback	PASS	interim/pf02/sn/positive/sn-sim-testnet/body/race
PF-02 SN	race	TestRunMainTaskworkerRequiresExplicitSubnetProfile	PASS	interim/pf02/sn/positive/sn-sim-testnet/body/race
PF-02 SN	race	TestRuntimeConfigManifestRejectsProviderEgressProbeIsolationDrift	PASS	interim/pf02/sn/positive/sn-sim-testnet/body/race
PF-02 SN	race	TestServerSpecsRouteWorkloadsThroughSimulatorOwnedRPCProxy	PASS	interim/pf02/sn/positive/sn-sim-testnet/body/race
PF-02 SN	race	TestServerTaskworkerProfileSurvivesSupervisorSerialization	PASS	interim/pf02/sn/positive/sn-sim-testnet/body/race
PF-02 SN	race	TestSupervisorRestartsOncePublishesReadyAndStopsChildren	PASS	interim/pf02/sn/positive/sn-sim-testnet/body/race
PF-02 server-task	normal	TestRunPostOrphanedFinishedTaskCompletes	PASS	pf02-server-final/positive/server-task/body/normal
PF-02 server-task	normal	TestTaskClaimProfileDefaultKeepsUnknownTargetRetry	PASS	pf02-server-final/positive/server-task/body/normal
PF-02 server-task	normal	TestTaskClaimProfilePreservesExcludedBacklog	PASS	pf02-server-final/positive/server-task/body/normal
PF-02 server-task	normal	TestTaskClaimProfilePreservesVersionedAliases	PASS	pf02-server-final/positive/server-task/body/normal
PF-02 server-task	normal	TestTaskClaimProfileScopesPostRetries	PASS	pf02-server-final/positive/server-task/body/normal
PF-02 server-task	normal	TestTaskLeaseExpiryRequiresOwnerSessionLoss	PASS	pf02-server-final/positive/server-task/body/normal
PF-02 server-task	normal	TestTaskWorkerDrainCancelsStragglerAndHandsBackClaim	PASS	pf02-server-final/positive/server-task/body/normal
PF-02 server-task	normal	TestTaskWorkerDrainCompletedTaskStillPosts	PASS	pf02-server-final/positive/server-task/body/normal
PF-02 server-task	race	TestRunPostOrphanedFinishedTaskCompletes	PASS	pf02-server-final/positive/server-task/body/race
PF-02 server-task	race	TestTaskClaimProfileDefaultKeepsUnknownTargetRetry	PASS	pf02-server-final/positive/server-task/body/race
PF-02 server-task	race	TestTaskClaimProfilePreservesExcludedBacklog	PASS	pf02-server-final/positive/server-task/body/race
PF-02 server-task	race	TestTaskClaimProfilePreservesVersionedAliases	PASS	pf02-server-final/positive/server-task/body/race
PF-02 server-task	race	TestTaskClaimProfileScopesPostRetries	PASS	pf02-server-final/positive/server-task/body/race
PF-02 server-task	race	TestTaskLeaseExpiryRequiresOwnerSessionLoss	PASS	pf02-server-final/positive/server-task/body/race
PF-02 server-task	race	TestTaskWorkerDrainCancelsStragglerAndHandsBackClaim	PASS	pf02-server-final/positive/server-task/body/race
PF-02 server-task	race	TestTaskWorkerDrainCompletedTaskStillPosts	PASS	pf02-server-final/positive/server-task/body/race
