mode	package	test	disposition	initial_source_commit	initial_body_capture	accepted_source_commit	accepted_body_capture	initial_test_outcome
normal	miner	TestDialFleetNativeContextBindsDeadlineThroughRuntimeAuthentication	retained-initial-pass	0127b7ee08d1cd77262a6dd28b606e2cfee33e6b	/mnt/data/sn-testnet/qualification/runtime460-affected-matrix-20260915-r1/terra/normal/miner	0127b7ee08d1cd77262a6dd28b606e2cfee33e6b	/mnt/data/sn-testnet/qualification/runtime460-affected-matrix-20260915-r1/terra/normal/miner	pass
normal	miner	TestDialFleetNativeContextClampsEndpointDeadlineToParent	retained-initial-pass	0127b7ee08d1cd77262a6dd28b606e2cfee33e6b	/mnt/data/sn-testnet/qualification/runtime460-affected-matrix-20260915-r1/terra/normal/miner	0127b7ee08d1cd77262a6dd28b606e2cfee33e6b	/mnt/data/sn-testnet/qualification/runtime460-affected-matrix-20260915-r1/terra/normal/miner	pass
normal	miner	TestDialFleetNativeContextFailsOverAfterSlowEndpointDeadline	retained-initial-pass	0127b7ee08d1cd77262a6dd28b606e2cfee33e6b	/mnt/data/sn-testnet/qualification/runtime460-affected-matrix-20260915-r1/terra/normal/miner	0127b7ee08d1cd77262a6dd28b606e2cfee33e6b	/mnt/data/sn-testnet/qualification/runtime460-affected-matrix-20260915-r1/terra/normal/miner	pass
normal	miner	TestFleetFinalizedRuntime460AuthenticatesIndependentExactHeads	retained-initial-pass	0127b7ee08d1cd77262a6dd28b606e2cfee33e6b	/mnt/data/sn-testnet/qualification/runtime460-affected-matrix-20260915-r1/terra/normal/miner	0127b7ee08d1cd77262a6dd28b606e2cfee33e6b	/mnt/data/sn-testnet/qualification/runtime460-affected-matrix-20260915-r1/terra/normal/miner	pass
normal	miner	TestFleetFinalizedRuntime460RejectsPrecedingSpecWithReviewedBytes	retained-initial-pass	0127b7ee08d1cd77262a6dd28b606e2cfee33e6b	/mnt/data/sn-testnet/qualification/runtime460-affected-matrix-20260915-r1/terra/normal/miner	0127b7ee08d1cd77262a6dd28b606e2cfee33e6b	/mnt/data/sn-testnet/qualification/runtime460-affected-matrix-20260915-r1/terra/normal/miner	pass
normal	miner	TestFleetFinalizedRuntimeGateRejectsFormerSpecOnlyPin	retained-initial-pass	0127b7ee08d1cd77262a6dd28b606e2cfee33e6b	/mnt/data/sn-testnet/qualification/runtime460-affected-matrix-20260915-r1/terra/normal/miner	0127b7ee08d1cd77262a6dd28b606e2cfee33e6b	/mnt/data/sn-testnet/qualification/runtime460-affected-matrix-20260915-r1/terra/normal/miner	pass
normal	miner	TestFleetRuntime458Retains455EvidenceWithoutCurrentAuthority	retained-initial-pass	0127b7ee08d1cd77262a6dd28b606e2cfee33e6b	/mnt/data/sn-testnet/qualification/runtime460-affected-matrix-20260915-r1/terra/normal/miner	0127b7ee08d1cd77262a6dd28b606e2cfee33e6b	/mnt/data/sn-testnet/qualification/runtime460-affected-matrix-20260915-r1/terra/normal/miner	pass
normal	miner	TestFleetRuntime460RejectsReceiptRuntimeDriftAfterCurrentAuthentication	retained-initial-pass	0127b7ee08d1cd77262a6dd28b606e2cfee33e6b	/mnt/data/sn-testnet/qualification/runtime460-affected-matrix-20260915-r1/terra/normal/miner	0127b7ee08d1cd77262a6dd28b606e2cfee33e6b	/mnt/data/sn-testnet/qualification/runtime460-affected-matrix-20260915-r1/terra/normal/miner	pass
normal	miner	TestFleetRuntime460Retains458EvidenceWithoutCurrentAuthority	retained-initial-pass	0127b7ee08d1cd77262a6dd28b606e2cfee33e6b	/mnt/data/sn-testnet/qualification/runtime460-affected-matrix-20260915-r1/terra/normal/miner	0127b7ee08d1cd77262a6dd28b606e2cfee33e6b	/mnt/data/sn-testnet/qualification/runtime460-affected-matrix-20260915-r1/terra/normal/miner	pass
normal	miner	TestFleetRuntimeArtifactAuthenticationSharesMetadataAcrossConcurrentHeads	retained-initial-pass	0127b7ee08d1cd77262a6dd28b606e2cfee33e6b	/mnt/data/sn-testnet/qualification/runtime460-affected-matrix-20260915-r1/terra/normal/miner	0127b7ee08d1cd77262a6dd28b606e2cfee33e6b	/mnt/data/sn-testnet/qualification/runtime460-affected-matrix-20260915-r1/terra/normal/miner	pass
normal	miner	TestFleetRuntimeArtifactMatchesReleaseManifests	replaced-after-test-only-fix	0127b7ee08d1cd77262a6dd28b606e2cfee33e6b	/mnt/data/sn-testnet/qualification/runtime460-affected-matrix-20260915-r1/terra/normal/miner	7989fa78faae81b82138c79e43dded16aad449dc	/mnt/data/sn-testnet/qualification/runtime460-failed-root-retry-20260915-r1/terra/normal/miner	fail
normal	miner	TestFleetRuntimeArtifactMatchesReviewedMetadataManifest	retained-initial-pass	0127b7ee08d1cd77262a6dd28b606e2cfee33e6b	/mnt/data/sn-testnet/qualification/runtime460-affected-matrix-20260915-r1/terra/normal/miner	0127b7ee08d1cd77262a6dd28b606e2cfee33e6b	/mnt/data/sn-testnet/qualification/runtime460-affected-matrix-20260915-r1/terra/normal/miner	pass
normal	miner	TestFleetRuntimeAuthenticationRejectsAdjacentArtifactDrift	retained-initial-pass	0127b7ee08d1cd77262a6dd28b606e2cfee33e6b	/mnt/data/sn-testnet/qualification/runtime460-affected-matrix-20260915-r1/terra/normal/miner	0127b7ee08d1cd77262a6dd28b606e2cfee33e6b	/mnt/data/sn-testnet/qualification/runtime460-affected-matrix-20260915-r1/terra/normal/miner	pass
normal	miner	TestFleetRuntimeMetadataFixtureRejectsBoundFramingAndDigestDrift	retained-initial-pass	0127b7ee08d1cd77262a6dd28b606e2cfee33e6b	/mnt/data/sn-testnet/qualification/runtime460-affected-matrix-20260915-r1/terra/normal/miner	0127b7ee08d1cd77262a6dd28b606e2cfee33e6b	/mnt/data/sn-testnet/qualification/runtime460-affected-matrix-20260915-r1/terra/normal/miner	pass
normal	validator	TestAuthenticatePinnedNativeRuntimeAtContextCancelsPublicRPC	retained-initial-pass	0127b7ee08d1cd77262a6dd28b606e2cfee33e6b	/mnt/data/sn-testnet/qualification/runtime460-affected-matrix-20260915-r1/terra/normal/validator	0127b7ee08d1cd77262a6dd28b606e2cfee33e6b	/mnt/data/sn-testnet/qualification/runtime460-affected-matrix-20260915-r1/terra/normal/validator	pass
normal	validator	TestAuthenticatePinnedNativeRuntimeRejectsAdjacentArtifactDrift	retained-initial-pass	0127b7ee08d1cd77262a6dd28b606e2cfee33e6b	/mnt/data/sn-testnet/qualification/runtime460-affected-matrix-20260915-r1/terra/normal/validator	0127b7ee08d1cd77262a6dd28b606e2cfee33e6b	/mnt/data/sn-testnet/qualification/runtime460-affected-matrix-20260915-r1/terra/normal/validator	pass
