role	nonce	transaction_hash	candidate_relative_path	sha256	bytes
operator-1-root	106	0xa62a69f38c314fce4efdc6cf9084ae5a2efa7178faca0ba25b0c63bd8e5368d9	private/missing-rlp/a62a69f38c314fce4efdc6cf9084ae5a2efa7178faca0ba25b0c63bd8e5368d9.rlp	834d779597e8283807e3db53cb3ec623fef1e7c1b4c0baf9c3b3e3722dc9c16d	178
operator-2-root	104	0x50cc7f2745b22052f91a3ce124f18fcbbe0fb0d297f59a9f3f9d2bd33e702dd8	private/missing-rlp/50cc7f2745b22052f91a3ce124f18fcbbe0fb0d297f59a9f3f9d2bd33e702dd8.rlp	c98109203e61c6e8597fe36195fc78f036bb31342c78d291574cfe104b851865	178
operator-2-root	105	0x62a2464cf084c69c81040d1374abcc20c8a99bb34e4788bd6e8b34cbe804d1df	private/missing-rlp/62a2464cf084c69c81040d1374abcc20c8a99bb34e4788bd6e8b34cbe804d1df.rlp	8bc15c6baeee94bbdeb8a424aa8465c6e67cd6e82b36f799da827d77cd2ef0f0	178
operator-2-root	106	0xe95f3f78dad211d12ced0583a47d9af610b9699d68ab08f73b2fc5c3b7acabd8	private/missing-rlp/e95f3f78dad211d12ced0583a47d9af610b9699d68ab08f73b2fc5c3b7acabd8.rlp	92428962da63b6aacdeef9c03fd4dc53aa90e29687347192d3d5dd42259fe951	178
