manifest	recorded_sha256	copied_sha256	match
FINAL-MANIFEST.tsv	6a5c4fd746ec556185046e9d2d9b083ea176f97ce0e13d975e32832cea083704	6a5c4fd746ec556185046e9d2d9b083ea176f97ce0e13d975e32832cea083704	true
CLOSED-MANIFEST.tsv	1c84b1541eb9b46689fa4a909d1d7953a24cfa196fbd6a20160406113382daf4	1c84b1541eb9b46689fa4a909d1d7953a24cfa196fbd6a20160406113382daf4	true
