process_id	stream	source_relative_path	gate_inode	source_inode_before	initial_offset	gate_offset	eof_before	bytes_copied	post_gate_bytes	slice_sha256	source_mtime_before	source_inode_after	eof_after	source_mtime_after
validator-1	stderr	processes/validator-1.stderr.log	39095215	39095215	30400543	30400845	30401282	739	437	4055800c9b5f011f3b57c1763464093c88b3d55070f701da2f0e69c583e65fd4	2026-09-16 10:20:14.485317355 +0000	39095215	30401282	2026-09-16 10:20:14.485317355 +0000
validator-1	stdout	processes/validator-1.stdout.log	39095214	39095214	6567141	6567141	6567141	0	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	2026-09-12 14:47:35.475488483 +0000	39095214	6567141	2026-09-12 14:47:35.475488483 +0000
validator-2	stderr	processes/validator-2.stderr.log	39095217	39095217	24830115	24830417	24830810	695	393	5560358baab4b64c34aeb3a35061f76d5488dc4afd559d3098fddf88f8e9df23	2026-09-16 10:20:14.487317272 +0000	39095217	24830810	2026-09-16 10:20:14.487317272 +0000
validator-2	stdout	processes/validator-2.stdout.log	39095216	39095216	6067436	6067436	6067436	0	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	2026-09-12 08:43:56.805526628 +0000	39095216	6067436	2026-09-12 08:43:56.805526628 +0000
