TestSubnetOperatorWorkloadKeepsRequiredTargets	MISSING
TestSubnetOperatorWorkloadPreservesProductionDefault	MISSING
TestSubnetOperatorWorkloadRejectsUnknownProfile	MISSING
TestSubnetOperatorWorkloadSchedulesOnlyItsDomain	MISSING
